country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode
USA,0,1,01,0,0.407140225,0,,,134
USA,0,1,01,0,-1.16552043,0,,,140
USA,0,1,01,0,-0.164736375,0,,,132
USA,0,1,01,0,1.121985912,0,,,88
USA,0,1,01,0,0.407140225,0,,,155
USA,1,1,01,0,1.550893426,1,,,113
USA,0,1,01,0,0.979016781,0,,,166
USA,1,1,02,0,1.97980082,0,,,30
USA,0,1,01,0,-0.021767221,0,,,116
USA,0,1,01,0,0.121201925,1,,,134
USA,0,1,01,0,-1.022551298,0,,,111
USA,0,1,01,0,-0.021767221,1,,,111
USA,0,1,01,0,2.694646597,0,,,119
USA,1,1,01,0,0.693078518,0,,,113
USA,0,1,01,0,-0.021767221,0,,,133
USA,0,1,01,0,1.550893426,1,,,148
USA,0,1,01,0,-0.593643785,0,,,21
USA,0,1,01,0,-0.307705522,0,,,133
USA,1,1,01,0,0.836047649,0,,,226
USA,0,1,01,0,0.407140225,0,,,223
USA,0,1,02,0,-1.16552043,0,,,64
USA,0,1,01,0,-0.879582107,0,,,133
USA,0,1,01,0,0.264171064,0,,,219
USA,0,1,01,0,-0.879582107,0,,,211
USA,0,1,03,0,-0.593643785,0,,,88
USA,0,1,01,0,-1.16552043,0,,,133
USA,0,1,01,0,-0.307705522,0,,,133
USA,1,1,01,0,0.836047649,0,,,16
USA,0,1,01,0,0.407140225,0,,,54
USA,0,1,01,0,-1.16552043,0,,,178
USA,0,1,01,0,0.693078518,,,,23
USA,0,1,01,0,0.550109386,0,,,133
USA,1,1,01,0,1.264955044,0,,,226
USA,0,1,01,0,-0.307705522,0,,,133
USA,0,1,01,0,-1.16552043,0,,,123
USA,0,1,01,0,-0.593643785,1,,,37
USA,0,1,01,0,-0.736612976,0,,,134
USA,0,1,01,0,0.121201925,0,,,231
